IPCC_FLU_id;IPCC_FLU_name;CLC_id;CLC_name;IPCC_landuse_id;IPCC_landuse_name;Remark
1;Longterm_cultivated;211;Non-irrigated arable land;2;Cropland;
1;Longterm_cultivated;212;Permanently irrigated arable land;2;Cropland;
2;Paddy rice;213;Rice fields;2;Cropland;
3;Perrennial/Tree crop;221;Vineyards;2;Cropland;
3;Perrennial/Tree crop;222;Fruit trees and berry plantations;2;Cropland;
3;Perrennial/Tree crop;223;Olive groves;2;Cropland;
3;Perrennial/Tree crop;241; Annual crops associated with permanent crops;2;Cropland;
5;All;242;Complex cultivation patterns;3;Grassland;
5;All;243;Land principally occupied by agriculture, with significant areas of natural vegetation;3;Grassland;
3;Perrennial/Tree crop;244;Agro-forestry areas;2;Cropland;
4;Set aside (<20 yrs);None;None;2;Cropland;Additional layer to make distinction in fallow land
5;All;231;Pastures;3;Grassland;
5;All;321;Natural grassland;3;Grassland;
5;All;322;Moors and heathland;3;Grassland;
5;All;323;Sclerophyllous vegetation;3;Grassland;
