IPCC_FI_id;IPCC_climate_id;IPCC_FI_name;IPCC_climate_name;Factor;Factor_uncertainty
1;1;Low;Warm Temperate Moist;0.92;14
1;2;Low;Warm Temperate Dry;0.95;13
1;3;Low;Cool Temperate Moist;0.92;14
1;4;Low;Cool Temperate Dry;0.95;13
1;5;Low;Polar Moist;None;None
1;6;Low;Polar Dry;None;None
1;7;Low;Boreal Moist;0.92;14
1;8;Low;Boreal Dry;0.95;13
1;9;Low;Tropical Montane;0.94;50
1;10;Low;Tropical Wet;0.92;14
1;11;Low;Tropical Moist;0.92;14
1;12;Low;Tropical Dry;0.95;13
2;1;Medium;Warm Temperate Moist;1;None
2;2;Medium;Warm Temperate Dry;1;None
2;3;Medium;Cool Temperate Moist;1;None
2;4;Medium;Cool Temperate Dry;1;None
2;5;Medium;Polar Moist;1;None
2;6;Medium;Polar Dry;1;None
2;7;Medium;Boreal Moist;1;None
2;8;Medium;Boreal Dry;1;None
2;9;Medium;Tropical Montane;None;None
2;10;Medium;Tropical Wet;1;None
2;11;Medium;Tropical Moist;1;None
2;12;Medium;Tropical Dry;1;None
3;1;High without manure;Warm Temperate Moist;1.11;10
3;2;High without manure;Warm Temperate Dry;1.04;13
3;3;High without manure;Cool Temperate Moist;1.11;10
3;4;High without manure;Cool Temperate Dry;1.04;13
3;5;High without manure;Polar Moist;None;None
3;6;High without manure;Polar Dry;None;None
3;7;High without manure;Boreal Moist;1.11;10
3;8;High without manure;Boreal Dry;1.04;13
3;9;High without manure;Tropical Montane;1.08;50
3;10;High without manure;Tropical Wet;1.11;10
3;11;High without manure;Tropical Moist;1.11;10
3;12;High without manure;Tropical Dry;1.04;13
4;1;High with manure;Warm Temperate Moist;1.44;13
4;2;High with manure;Warm Temperate Dry;1.37;12
4;3;High with manure;Cool Temperate Moist;1.44;13
4;4;High with manure;Cool Temperate Dry;1.37;12
4;5;High with manure;Polar Moist;None;None
4;6;High with manure;Polar Dry;None;None
4;7;High with manure;Boreal Moist;1.44;13
4;8;High with manure;Boreal Dry;1.37;12
4;9;High with manure;Tropical Montane;1.41;50
4;10;High with manure;Tropical Wet;1.44;13
4;11;High with manure;Tropical Moist;1.44;13
4;12;High with manure;Tropical Dry;1.37;12
