SPECIES_CODE,SPECIES_NAME,FOREST_ZONE,CF,BCEF,RTS,Iv,yrl_C_seq
AA,Abies_alba,Central-West Europe,0.51,0.55,0.39,15.467832167832167,6.0308304230769245
AA,Abies_alba,Central-East Europe,0.51,0.55,0.39,8.389,3.2708291550000004
AA,Abies_alba,South-West Europe,0.51,0.55,0.39,14.391513300572958,5.611179078326895
AA,Abies_alba,South-East Europe,0.51,0.55,0.39,4.647951465936744,1.812213036811407
AG,Alnus_glutinosa,North Europe,0.48,1.5,0.42,5.887420847976467,6.01929907497114
AG,Alnus_glutinosa,Central-East Europe,0.48,1.5,0.42,7.507637354878239,7.6758084316275115
BT,Betula_pendula,Central-West Europe,0.48,0.65,0.39,5.1,2.2117679999999997
BT,Betula_pendula,North Europe,0.48,0.65,0.39,4.703993628853966,2.040027956961388
BT,Betula_pendula,Central-East Europe,0.48,0.65,0.39,6.540498560357395,2.8364834156557954
CB,Carpinus_betulus,South-East Europe,0.48,1.5,0.42,2.920833333333333,2.9862599999999997
CS,Castanea_sativa,South-West Europe,0.48,1.5,0.42,7.735336328236847,7.908607861989352
CS,Castanea_sativa,South-East Europe,0.48,1.5,0.42,4.2949379461815225,4.391144556175988
FS,Fagus_sylvatica,Central-West Europe,0.48,1.5,0.42,7.487002860044845,7.654711724109848
FS,Fagus_sylvatica,Central-East Europe,0.48,1.5,0.42,6.642539860501997,6.79133275337724
FS,Fagus_sylvatica,South-West Europe,0.48,1.5,0.42,4.145555086088818,4.238415520017207
FS,Fagus_sylvatica,South-East Europe,0.48,1.5,0.42,4.680655948893531,4.785502642148746
LD,Larix_decidua,Central-West Europe,0.51,0.9,0.39,11.6360812838098,7.42393621988349
LD,Larix_decidua,South-West Europe,0.51,0.9,0.39,17.155948564890036,10.945666743885493
Oca,Ostrya_carpinifolia,South-West Europe,0.48,1.5,0.42,3.4355653601341594,3.5125220242011643
PA,Picea_abies,Central-West Europe,0.51,0.55,0.39,13.46381293616846,5.249473344747403
PA,Picea_abies,North Europe,0.51,0.55,0.39,4.656976868495518,1.8157319961420604
PA,Picea_abies,Central-East Europe,0.51,0.55,0.39,7.563613277221903,2.949014998722435
PA,Picea_abies,South-West Europe,0.51,0.55,0.39,12.498256316787558,4.873007646633885
PA,Picea_abies,South-East Europe,0.51,0.55,0.39,6.012752822119585,2.344342261580316
PC,Pinus_cembra,Central-West Europe,0.51,0.47,0.39,5.333333333333334,1.7769760000000003
PM,Pinus_pinaster,South-West Europe,0.49,1.5,0.44,5.142605782408383,5.4429339601010325
PN,Pinus_nigra,Central-West Europe,0.49,1.5,0.44,6.1,6.456239999999998
PN,Pinus_nigra,South-West Europe,0.49,1.5,0.44,5.6946540037720546,6.027221797592342
PN,Pinus_nigra,South-East Europe,0.49,1.5,0.44,5.299158899713667,5.608629779456945
PP,Populus_alba,Central-West Europe,0.48,1.5,0.42,7.8999999999999995,8.07696
PP,Populus_alba,South-West Europe,0.48,1.5,0.42,10.673333333333334,10.912416
PS,Pinus_sylvestris,Central-West Europe,0.51,0.47,0.39,13.751016059434876,4.581604783730691
PS,Pinus_sylvestris,North Europe,0.51,0.47,0.39,4.54375065360031,1.5139004740185122
PS,Pinus_sylvestris,Central-East Europe,0.51,0.47,0.39,8.09532202624703,2.697223678671065
PS,Pinus_sylvestris,South-West Europe,0.51,0.47,0.39,5.43120057941118,1.809583702649955
PS,Pinus_sylvestris,South-East Europe,0.51,0.47,0.39,8.73470336201492,2.9102546702662173
PT,Populus_tremula,North Europe,0.48,1.5,0.42,7.692947246684189,7.865269265009914
PT,Populus_tremula,Central-East Europe,0.48,1.5,0.42,9.078890632303592,9.282257782467193
QC,Quercus_Cerris,South-West Europe,0.49,1.5,0.44,3.2407160190451663,3.4299738345574036
QC,Quercus_Cerris,South-East Europe,0.49,1.5,0.44,4.0645626245815345,4.301933081857096
QI,Quercus_ilex,South-West Europe,0.49,1.5,0.44,3.182647113059806,3.3685137044624986
QI,Quercus_ilex,South-East Europe,0.49,1.5,0.44,2.3338828158124065,2.470181572255851
QP,Quercus_petraea,Central-West Europe,0.48,1.5,0.42,2.9,2.9649599999999996
QP,Quercus_petraea,South-East Europe,0.48,1.5,0.42,2.4911582301634,2.54696017451906
QR,Quercus_robur,Central-West Europe,0.48,1.5,0.42,7.036692700548842,7.194314617041137
QR,Quercus_robur,North Europe,0.48,1.5,0.42,2.7684365725094744,2.8304495517336865
QR,Quercus_robur,Central-East Europe,0.48,1.5,0.42,6.036893581061738,6.1721199972775205
QR,Quercus_robur,South-West Europe,0.48,1.5,0.42,1.7893632743101053,1.8294450116546517
QR,Quercus_robur,South-East Europe,0.48,1.5,0.42,3.446836292952304,3.524045425914436
QS,Quercus_suber,South-West Europe,0.49,1.5,0.44,2.0265829983516137,2.1449354454553475
RP,Robinia_pseudoacacia,Central-East Europe,0.49,1.5,0.44,4.823562601428336,5.105258657351751
RP,Robinia_pseudoacacia,South-West Europe,0.49,1.5,0.44,4.0,4.2336
FO,Tilia_cordata,South-East Europe,0.48,1.5,0.42,5.289927999585548,5.408422386776264
