SPECIES_CODE,SPECIES_NAME,FOREST_ZONE,FGS,FT,CF,BCEF_0_20,BCEF_21_30,RTS,Iv_0_20_avg,Iv_21-30_avg,Iv_0_20_min,Iv_21-30_min,Iv_0_20_max,Iv_21-30_max,yrl_C_seq_age_0_20_avg,yrl_C_seq_age_21_30_avg,yrl_C_seq_age_0_20_min,yrl_C_seq_age_21_30_min,yrl_C_seq_age_0_20_max,yrl_C_seq_age_21_30_max
AA,Abies_alba,Central-East Europe,F,C,0.51,0.55,0.47,0.39,5.400000000000001,8.2,5.4,8.2,5.4,8.2,2.105433000000001,2.7321006,2.1054330000000006,2.7321006,2.1054330000000006,2.7321006
AA,Abies_alba,Central-West Europe,F,C,0.51,0.55,0.47,0.39,12.183333333333334,15.450000000000001,7.6,11.91,15.72,21.66,4.750220750000001,5.14767735,2.963202,3.96820953,6.129149400000002,7.21674378
AA,Abies_alba,North Europe,F,C,0.51,0.55,0.47,0.39,2.783333333333333,6.6499999999999995,1.95,6.1,4.25,7.699999999999999,1.0852077500000001,2.21566695,0.7602952500000001,2.0324163,1.6570537500000004,2.5655091
AA,Abies_alba,South-East Europe,F,C,0.51,0.55,0.47,0.39,5.6,6.1,5.6,6.1,5.6,6.1,2.183412,2.0324163,2.183412,2.0324163,2.183412,2.0324163
AA,Abies_alba,South-West Europe,F,C,0.51,0.55,0.47,0.39,8.458333333333334,8.358333333333333,4.76,4.66,13.270000000000001,13.080000000000002,3.297861875000001,2.784854575,1.8559002000000002,1.55263278,5.173906650000002,4.358033640000001
AG,Alnus_glutinosa,Central-East Europe,F,D,0.48,1.5,1.3,0.42,6.8875,8.2,5.69,7.03,7.81,9.09,7.04178,7.265855999999999,5.817456,6.2291424,7.984943999999999,8.0544672
AG,Alnus_glutinosa,Central-West Europe,F,D,0.48,1.5,1.3,0.42,3.1,4.5,3.02,4.1,3.18,4.9,3.16944,3.9873600000000002,3.0876479999999997,3.6329279999999997,3.2512320000000003,4.341792
AG,Alnus_glutinosa,North Europe,F,D,0.48,1.5,1.3,0.42,4.0,5.5,3.3600000000000003,4.62,4.64,6.38,4.0896,4.87344,3.4352640000000005,4.0936896,4.743935999999999,5.6531904
AI,Alnus_incana,Central-West Europe,F,D,0.48,1.5,1.3,0.42,3.6,5.8,3.6,5.8,3.6,5.8,3.68064,5.139264,3.68064,5.139264,3.68064,5.139264
AI,Alnus_incana,North Europe,F,D,0.48,1.5,1.3,0.42,6.65,8.0,5.73,6.88,7.57,9.120000000000001,6.798960000000001,7.088639999999999,5.858352,6.0962304000000005,7.739567999999999,8.0810496
BT,Betula_pendula,Central-East Europe,F,D,0.48,0.65,0.54,0.39,6.875,8.975,1.2,1.4,11.370000000000001,15.450000000000001,2.98155,3.2335848,0.520416,0.5044031999999999,4.930941600000001,5.566449600000001
BT,Betula_pendula,Central-West Europe,F,D,0.48,0.65,0.54,0.39,3.45,4.199999999999999,2.61,4.119999999999999,4.29,4.279999999999999,1.4961960000000003,1.5132096,1.1319047999999998,1.48438656,1.8604872000000001,1.54203264
BT,Betula_pendula,North Europe,F,D,0.48,0.65,0.54,0.39,3.55,4.85,3.27,4.49,3.83,5.21,1.5395640000000002,1.7473968,1.4181336000000002,1.6176931200000002,1.6609944,1.8771004800000002
CB,Carpinus_betulus,Central-West Europe,S,D,0.48,1.5,1.3,0.42,5.983333333333333,5.7,5.45,5.15,6.6,6.25,6.117359999999999,5.050656,5.572080000000001,4.563312,6.747839999999999,5.537999999999999
CB,Carpinus_betulus,South-East Europe,S,D,0.48,1.5,1.3,0.42,2.0,3.6500000000000004,1.52,3.05,2.4800000000000004,4.25,2.0448,3.234192,1.5540479999999999,2.7025439999999996,2.5355520000000005,3.76584
CB,Carpinus_betulus,South-West Europe,S,D,0.48,1.5,1.3,0.42,2.3076923076923075,2.5461538461538464,1.05,1.1,3.9000000000000004,4.45,2.359384615384615,2.2560960000000003,1.07352,0.974688,3.9873600000000002,3.9430560000000003
CS,Castanea_sativa,Central-West Europe,S,D,0.48,1.5,1.3,0.42,8.022222222222222,7.388888888888889,6.42,5.960000000000001,9.96,9.16,8.20192,6.5471466666666664,6.563807999999999,5.281036800000001,10.183104,8.1164928
CS,Castanea_sativa,South-West Europe,S,D,0.48,1.5,1.3,0.42,4.279545454545455,4.256818181818182,0.7,0.7,8.5,8.9,4.375407272727273,3.7718814545454546,0.7156799999999998,0.6202559999999999,8.6904,7.886112000000001
FE,Fraxinus_excelsior,Central-West Europe,F,D,0.48,1.5,1.3,0.42,4.611111111111111,5.222222222222222,3.7,4.2,5.44,6.14,4.7143999999999995,4.627306666666667,3.78288,3.721536,5.561856,5.4405312
FS,Fagus_sylvatica,Central-East Europe,S,D,0.48,1.5,1.3,0.42,5.922641509433962,7.743396226415095,4.1,5.44,8.200000000000003,10.360000000000001,6.055308679245282,6.861268528301887,4.191839999999999,4.8202752,8.383680000000002,9.1797888
FS,Fagus_sylvatica,Central-West Europe,S,D,0.48,1.5,1.3,0.42,6.017948717948718,7.392307692307693,3.380000000000001,3.64,8.72,10.5,6.152750769230768,6.5501759999999996,3.4557120000000006,3.2253312,8.915328,9.30384
FS,Fagus_sylvatica,North Europe,S,D,0.48,1.5,1.3,0.42,5.566666666666666,8.716666666666667,4.75,7.550000000000001,6.300000000000001,9.45,5.6913599999999995,7.723663999999999,4.8564,6.689904,6.44112,8.373456000000001
FS,Fagus_sylvatica,South-East Europe,S,D,0.48,1.5,1.3,0.42,3.066666666666667,3.3833333333333333,1.55,1.7,5.050000000000001,4.7,3.13536,2.9979039999999997,1.58472,1.506336,5.16312,4.164575999999999
FS,Fagus_sylvatica,South-West Europe,S,D,0.48,1.5,1.3,0.42,3.242857142857143,3.782857142857143,1.9,2.14,4.680000000000001,5.28,3.3154971428571423,3.351914057142857,1.9425599999999998,1.8962112000000002,4.784832000000001,4.6785024
