FGS,FOREST_ZONE,yrl_C_seq_age_0_20_avg,yrl_C_seq_age_21_30_avg,yrl_C_seq_age_0_20_min,yrl_C_seq_age_21_30_min,yrl_C_seq_age_0_20_max,yrl_C_seq_age_21_30_max
F,Central-East Europe,4.290796336765409,4.21101912445055,3.0665936250000003,2.9699419725,5.38299234,5.32196211
F,Central-West Europe,4.137598143589743,3.695648676923077,2.9944010907692307,2.83766613,5.336813912307694,4.870179124615385
F,North Europe,3.0019926964285717,3.728465275,2.4424033757142856,3.0895753885714288,3.6670359557142858,4.283114211428571
F,South-East Europe,2.244313275,1.7666417625,1.9588254750000003,1.6998059325,2.4874650750000002,1.8264215925
F,South-West Europe,3.0831173053030305,2.400367996043771,1.4653116166666666,1.0594876466666667,4.985309883333334,3.937101356666667
S,Central-East Europe,6.055308679245282,6.861268528301887,4.191839999999999,4.8202752,8.383680000000002,9.1797888
S,Central-West Europe,4.875011801131221,4.608409923529412,3.6526751250000005,3.3441744,6.118794975,5.7553902
S,North Europe,5.69136,7.723663999999999,4.8564,6.689904,6.44112,8.373456000000001
S,South-East Europe,2.6298399999999997,3.3178773333333336,1.608576,2.3599264,3.8101440000000006,4.167529599999999
S,South-West Europe,2.2064142857142857,1.709095631694621,1.119168,0.8500247999999999,3.611304,2.7092856000000003
F/S,Central-East Europe,4.4868532637076175,4.505491280434032,3.191621,3.1755345533333332,5.716402080000001,5.75060952
F/S,Central-West Europe,4.3111072394818555,3.910416029065744,3.1492890988235294,2.956844546470588,5.520809456470588,5.078464083529412
F/S,North Europe,3.338163609375,4.227865115625,2.74415295375,3.539616465,4.01379646125,4.7944069350000005
F/S,South-East Europe,2.409539014285714,2.431457007142857,1.8087185571428572,1.982714704285714,3.0543274714285715,2.8297535957142856
F/S,South-West Europe,2.7787280636131726,2.120110749369459,1.428068325,1.01266743,4.402963210714286,3.3937793292857146
