NUTS_LEVEL3_ID,NUTS_LEVEL0_ID,FOREST_ZONE
AT111,AT,Central-West Europe
AT112,AT,Central-West Europe
AT113,AT,Central-West Europe
AT121,AT,Central-West Europe
AT122,AT,Central-West Europe
AT123,AT,Central-West Europe
AT124,AT,Central-West Europe
AT125,AT,Central-West Europe
AT126,AT,Central-West Europe
AT127,AT,Central-West Europe
AT130,AT,Central-West Europe
AT211,AT,Central-West Europe
AT212,AT,Central-West Europe
AT213,AT,Central-West Europe
AT221,AT,Central-West Europe
AT222,AT,Central-West Europe
AT223,AT,Central-West Europe
AT224,AT,Central-West Europe
AT225,AT,Central-West Europe
AT226,AT,Central-West Europe
AT311,AT,Central-West Europe
AT312,AT,Central-West Europe
AT313,AT,Central-West Europe
AT314,AT,Central-West Europe
AT315,AT,Central-West Europe
AT321,AT,Central-West Europe
AT322,AT,Central-West Europe
AT323,AT,Central-West Europe
AT331,AT,Central-West Europe
AT332,AT,Central-West Europe
AT333,AT,Central-West Europe
AT334,AT,Central-West Europe
AT335,AT,Central-West Europe
AT341,AT,Central-West Europe
AT342,AT,Central-West Europe
BE100,BE,Central-West Europe
BE211,BE,Central-West Europe
BE212,BE,Central-West Europe
BE213,BE,Central-West Europe
BE224,BE,Central-West Europe
BE225,BE,Central-West Europe
BE223,BE,Central-West Europe
BE231,BE,Central-West Europe
BE232,BE,Central-West Europe
BE233,BE,Central-West Europe
BE234,BE,Central-West Europe
BE235,BE,Central-West Europe
BE236,BE,Central-West Europe
BE241,BE,Central-West Europe
BE242,BE,Central-West Europe
BE251,BE,Central-West Europe
BE252,BE,Central-West Europe
BE253,BE,Central-West Europe
BE254,BE,Central-West Europe
BE255,BE,Central-West Europe
BE256,BE,Central-West Europe
BE257,BE,Central-West Europe
BE258,BE,Central-West Europe
BE310,BE,Central-West Europe
BE32A,BE,Central-West Europe
BE32B,BE,Central-West Europe
BE323,BE,Central-West Europe
BE328,BE,Central-West Europe
BE32C,BE,Central-West Europe
BE32D,BE,Central-West Europe
BE331,BE,Central-West Europe
BE332,BE,Central-West Europe
BE334,BE,Central-West Europe
BE335,BE,Central-West Europe
BE336,BE,Central-West Europe
BE341,BE,Central-West Europe
BE342,BE,Central-West Europe
BE343,BE,Central-West Europe
BE344,BE,Central-West Europe
BE345,BE,Central-West Europe
BE351,BE,Central-West Europe
BE352,BE,Central-West Europe
BE353,BE,Central-West Europe
BE329,BE,Central-West Europe
BG341,BG,South-East Europe
BG342,BG,South-East Europe
BG343,BG,South-East Europe
BG344,BG,South-East Europe
BG411,BG,South-East Europe
BG412,BG,South-East Europe
BG413,BG,South-East Europe
BG414,BG,South-East Europe
BG415,BG,South-East Europe
BG421,BG,South-East Europe
BG422,BG,South-East Europe
BG423,BG,South-East Europe
BG424,BG,South-East Europe
BG425,BG,South-East Europe
BG311,BG,South-East Europe
BG312,BG,South-East Europe
BG313,BG,South-East Europe
BG314,BG,South-East Europe
BG315,BG,South-East Europe
BG321,BG,South-East Europe
BG322,BG,South-East Europe
BG323,BG,South-East Europe
BG324,BG,South-East Europe
BG325,BG,South-East Europe
BG331,BG,South-East Europe
BG332,BG,South-East Europe
BG333,BG,South-East Europe
BG334,BG,South-East Europe
HR031,HR,South-East Europe
HR032,HR,South-East Europe
HR033,HR,South-East Europe
HR034,HR,South-East Europe
HR035,HR,South-East Europe
HR036,HR,South-East Europe
HR037,HR,South-East Europe
HR050,HR,South-East Europe
HR065,HR,South-East Europe
HR064,HR,South-East Europe
HR062,HR,South-East Europe
HR063,HR,South-East Europe
HR061,HR,South-East Europe
HR021,HR,South-East Europe
HR022,HR,South-East Europe
HR023,HR,South-East Europe
HR024,HR,South-East Europe
HR025,HR,South-East Europe
HR026,HR,South-East Europe
HR027,HR,South-East Europe
HR028,HR,South-East Europe
CY000,CY,South-East Europe
CZ010,CZ,Central-East Europe
CZ020,CZ,Central-East Europe
CZ031,CZ,Central-East Europe
CZ032,CZ,Central-East Europe
CZ041,CZ,Central-East Europe
CZ042,CZ,Central-East Europe
CZ051,CZ,Central-East Europe
CZ052,CZ,Central-East Europe
CZ053,CZ,Central-East Europe
CZ063,CZ,Central-East Europe
CZ064,CZ,Central-East Europe
CZ071,CZ,Central-East Europe
CZ072,CZ,Central-East Europe
CZ080,CZ,Central-East Europe
DK032,DK,North Europe
DK041,DK,North Europe
DK042,DK,North Europe
DK050,DK,North Europe
DK011,DK,North Europe
DK012,DK,North Europe
DK013,DK,North Europe
DK014,DK,North Europe
DK021,DK,North Europe
DK022,DK,North Europe
DK031,DK,North Europe
EE001,EE,North Europe
EE004,EE,North Europe
EE009,EE,North Europe
EE00A,EE,North Europe
EE008,EE,North Europe
FI193,FI,North Europe
FI194,FI,North Europe
FI195,FI,North Europe
FI196,FI,North Europe
FI197,FI,North Europe
FI1B1,FI,North Europe
FI1D7,FI,North Europe
FI1D8,FI,North Europe
FI1D9,FI,North Europe
FI200,FI,North Europe
FI1C1,FI,North Europe
FI1C2,FI,North Europe
FI1C3,FI,North Europe
FI1C4,FI,North Europe
FI1C5,FI,North Europe
FI1D1,FI,North Europe
FI1D2,FI,North Europe
FI1D3,FI,North Europe
FI1D5,FI,North Europe
FRJ13,FR,Central-West Europe
FRJ14,FR,Central-West Europe
FRJ15,FR,Central-West Europe
FRJ21,FR,Central-West Europe
FRK24,FR,Central-West Europe
FRK25,FR,Central-West Europe
FRK26,FR,Central-West Europe
FRK27,FR,Central-West Europe
FRK28,FR,Central-West Europe
FRJ22,FR,Central-West Europe
FRJ23,FR,Central-West Europe
FRJ24,FR,Central-West Europe
FRJ25,FR,Central-West Europe
FRJ26,FR,Central-West Europe
FRJ27,FR,Central-West Europe
FRJ28,FR,Central-West Europe
FRK11,FR,Central-West Europe
FRK12,FR,Central-West Europe
FRK13,FR,Central-West Europe
FRK14,FR,Central-West Europe
FRK21,FR,Central-West Europe
FRK22,FR,Central-West Europe
FRK23,FR,Central-West Europe
FRL01,FR,Central-West Europe
FRL02,FR,Central-West Europe
FRL03,FR,Central-West Europe
FRL04,FR,Central-West Europe
FRL05,FR,Central-West Europe
FRL06,FR,Central-West Europe
FRM01,FR,Central-West Europe
FRM02,FR,Central-West Europe
FR101,FR,Central-West Europe
FR102,FR,Central-West Europe
FR103,FR,Central-West Europe
FR104,FR,Central-West Europe
FR105,FR,Central-West Europe
FR106,FR,Central-West Europe
FR107,FR,Central-West Europe
FR108,FR,Central-West Europe
FRB01,FR,Central-West Europe
FRB02,FR,Central-West Europe
FRB03,FR,Central-West Europe
FRB04,FR,Central-West Europe
