NUTS_LEVEL0_ID	Slope	Tree_species	Tree_prob	Perc_reforest
FR	2	Malus_sylvestris	60	10
HR	2	Prunus_avium	60	10
HU	1	Quercus_robur	70	10
AL	3	Populus_alba	60	10
AT	4	Betula_pubescens	60	10
BE	5	Pinus_nigra	70	10
BG	2	Carpinus_orientalis	80	10
CH	3	Quercus_petraea	50	10
CY	4	Acer_platanoides	60	10
CZ	5	Pyrus_communis	50	10
DE	6	Taxus_baccata	60	10
DK	1	Celtis_australis	40	10
EE	2	Ceratonia_siliqua	30	10
EL	3	Fagus_sylvatica	20	10
IE	4	Tilia_platyphyllos	10	10
ES	6	Corylus_avellana	50	10
FI	7	Pistacia_terebinthus	80	10
IS	2	Fraxinus_ornus	80	10
PT	1	Ostrya_carpinifolia	80	10
RO		Alnus_glutinosa	80	10
RS		Acer_opalus	80	10
SE		Cupressus_sempervirens	80	10
SI		Pinus_pinea	80	10
SK		Prunus_padus	80	10
TR		Quercus_coccifera	80	10
UK		Aria_edulis	80	10
NO		Betula_pendula	80	10
IT		Pinus_halepensis	80	10
LI				
LT				
LU				
LV				
ME				
MK				
MT				
NL				
PL				
